,Orden original,Comisión,Congresistas,Cargo,Bancada,Sesión,Fecha,Asistencia,Licencia,Inas. Just.,Inas. Inj.,
17,2666,SCAC,ACUÑA PERALTA MARÍA GRIMANEZA,Titular,Alianza Para el Progreso,,,1,,,,2022-03-14-SES-EXT-007.xlsx
17,2682,Economia,ACUÑA PERALTA MARÍA GRIMANEZA,Titular,Alianza Para el Progreso,,,1,-,-,-,06 Registro de Asistencia Sexta Sesión Ordinaria Economia (4).xlsx
17,2965,Economia,ACUÑA PERALTA MARÍA GRIMANEZA,Titular,Alianza Para el Progreso,,,1,-,-,-,06 Asistencia 6ta. Sesión Extraordinaria Comisión de Economia (3) (3) (8).xlsx
17,3141,SCAC,ACUÑA PERALTA MARÍA GRIMANEZA,Titular,Alianza Para el Progreso,,,1,,,,2022-03-18-SES-ORD-011.xlsx
17,3192,SCAC,ACUÑA PERALTA MARÍA GRIMANEZA,Titular,Alianza Para el Progreso,,,1,,,,2022-06-14-SES-EXT-015.xlsx
17,3308,SCAC,ACUÑA PERALTA MARÍA GRIMANEZA,Titular,Alianza Para el Progreso,,,1,,,,2022-02-28-SES-EXT-005.xlsx
17,3501,Economia,ACUÑA PERALTA MARÍA GRIMANEZA,Titular,Alianza Para el Progreso,,,1,-,-,-,11 11ava Sesión Extraordinaaria Comisión de Eonomía (2) (1).xlsx
17,3681,SCAC,ACUÑA PERALTA MARÍA GRIMANEZA,Titular,Alianza Para el Progreso,,,1,,,,2022-08-01-SES-EXT-018.xlsx
17,3756,SCAC,ACUÑA PERALTA MARÍA GRIMANEZA,Titular,Alianza Para el Progreso,,,1,,,,2022-03-04-SES-ORD-009.xlsx
17,3812,Economía,ACUÑA PERALTA MARÍA GRIMANEZA,Titular,Alianza Para el Progreso,,,1,-,-,-,21 Registro de Asistencia de la Vigésimo Primera Sesión Ordinaria Comisión de Eonomía.xlsx
17,4003,SCAC,ACUÑA PERALTA MARÍA GRIMANEZA,Titular,Alianza Para el Progreso,,,,1,,,2021-11-12-SES-ORD-001.xlsx
17,4155,Economia,ACUÑA PERALTA MARÍA GRIMANEZA,Titular,Alianza Para el Progreso,,,1,-,-,-,08 Registro de Asistencia Octava Sesión Ordinaria Economia (5) - copia (1).xlsx
17,4342,4,ACUÑA PERALTA MARÍA GRIMANEZA,Titular,Alianza Para el Progreso,,,-,1,-,-,08 8 ava. SESIÓN EXTRAORDINARIA 12.05.22 (1) (1).xlsx
17,4655,Economia,ACUÑA PERALTA MARÍA GRIMANEZA,Titular,Alianza Para el Progreso,,,1,-,-,-,12 Registro de Asistencia Décimo Doceava Sesión Ordinaria.xlsx
17,4688,SCAC,ACUÑA PERALTA MARÍA GRIMANEZA,Titular,Alianza Para el Progreso,,,,1,,,2022-02-18-SES-ORD-008.xlsx
17,4754,SCAC,ACUÑA PERALTA MARÍA GRIMANEZA,Titular,Alianza Para el Progreso,,,1,,,,2022-06-03-SES-ORD-018.xlsx
17,4998,SCAC,ACUÑA PERALTA MARÍA GRIMANEZA,Titular,Alianza Para el Progreso,,,1,,,,2022-06-01-SES-EXT-013.xlsx
17,5271,SCAC,ACUÑA PERALTA MARÍA GRIMANEZA,Titular,Alianza Para el Progreso,,,1,,,,2022-06-08-SES-EXT-014.xlsx
17,5604,SCAC,ACUÑA PERALTA MARÍA GRIMANEZA,Titular,Alianza Para el Progreso,,,,1,,,2022-01-18-SES-EXT-002.xlsx
17,5688,4,ACUÑA PERALTA MARÍA GRIMANEZA,Titular,Alianza Para el Progreso,,,1,-,-,-,09 9 na. Sesión Extraordinaria Comisión de Eonomía.xlsx
17,6667,SCAC,ACUÑA PERALTA MARÍA GRIMANEZA,Titular,Alianza Para el Progreso,,,1,,,,2022-02-04-SES-ORD-006.xlsx
17,6691,Economia,ACUÑA PERALTA MARÍA GRIMANEZA,Titular,Alianza Para el Progreso,,,1,-,-,-,05 Asistencia quinta Sesión Extraordinaria Comisión de Economia (3) (4).xlsx
17,6846,SCAC,ACUÑA PERALTA MARÍA GRIMANEZA,Titular,Alianza Para el Progreso,,,1,,,,2022-05-04-SES-EXT-011.xlsx
17,6871,SCAC,ACUÑA PERALTA MARÍA GRIMANEZA,Titular,Alianza Para el Progreso,,,1,,,,2022-04-13-SES-EXT-009.xlsx
17,7194,SCAC,ACUÑA PERALTA MARÍA GRIMANEZA,Titular,Alianza Para el Progreso,,,,1,,,2021-11-19-SES-ORD-002.xlsx
17,7401,Economia,ACUÑA PERALTA MARÍA GRIMANEZA,Titular,Alianza Para el Progreso,,,1,-,-,-,03 Registro de Asistencia tercera Sesión Ordinaria Economia (2).xlsx
17,7481,4,ACUÑA PERALTA MARÍA GRIMANEZA,Titular,Alianza Para el Progreso,,,1,,-,-,18 Registro de Asistencia la Décimo Octava Sesión Ordinaria Comisión de Eonomía (5) (1).xlsx
17,7532,Economia,ACUÑA PERALTA MARÍA GRIMANEZA,Titular,Alianza Para el Progreso,,,1,-,-,-,24 Registro de Asistencia de la Vigésimo Cuarta Sesión Ordinaria Comisión de Eonomía (4).xlsx
17,7769,SCAC,ACUÑA PERALTA MARÍA GRIMANEZA,Titular,Alianza Para el Progreso,,,1,,,,2022-05-25-SES-EXT-012.xlsx
17,7883,SCAC,ACUÑA PERALTA MARÍA GRIMANEZA,Titular,Alianza Para el Progreso,,,1,,,,2022-02-11-SES-ORD-007.xlsx
17,8002,Economia,ACUÑA PERALTA MARÍA GRIMANEZA,Titular,Alianza Para el Progreso,,,1,-,-,-,01 Asistencia1era. Sesión Extraordinaria Ordinaria Economia (8) (1).xlsx
17,8502,SCAC,ACUÑA PERALTA MARÍA GRIMANEZA,Titular,Alianza Para el Progreso,,,1,,,,2021-12-17-SES-ORD-005.xlsx
17,8671,Economia,ACUÑA PERALTA MARÍA GRIMANEZA,Titular,Alianza Para el Progreso,,,1,-,-,-,04 Asistencia Cuarta Sesión Extraordinaria Comisión de Economia (15).xlsx
17,9218,SCAC,ACUÑA PERALTA MARÍA GRIMANEZA,Titular,Alianza Para el Progreso,,,1,,,,2021-12-10-SES-ORD-004.xlsx
17,9883,4,ACUÑA PERALTA MARÍA GRIMANEZA,Titular,Alianza Para el Progreso,,,-,1,-,-,19 Registro de Asistencia de la Décimo Novena Sesión Ordinaria Comisión de Eonomía (11).xlsx
17,9918,SCAC,ACUÑA PERALTA MARÍA GRIMANEZA,Titular,Alianza Para el Progreso,,,1,,,,2022-03-11-SES-ORD-010.xlsx
17,9956,SCAC,ACUÑA PERALTA MARÍA GRIMANEZA,Titular,Alianza Para el Progreso,,,1,,,,2022-06-17-SES-ORD-019.xlsx
17,10052,SCAC,ACUÑA PERALTA MARÍA GRIMANEZA,Titular,Alianza Para el Progreso,,,1,,,,2022-03-07-SES-EXT-006.xlsx
17,10183,Economia,ACUÑA PERALTA MARÍA GRIMANEZA,Titular,Alianza Para el Progreso,,,1,-,-,-,23 Registro de Asistencia de la Vigésimo Tercera Sesión Ordinaria Comisión de Eonomía (1).xlsx
17,10222,Economia,ACUÑA PERALTA MARÍA GRIMANEZA,Titular,Alianza Para el Progreso,,,1,-,-,-,10 Registro de Asistencia Décima Sesión Ordinaria Economia (11).xlsx
17,10881,SCAC,ACUÑA PERALTA MARÍA GRIMANEZA,Titular,Alianza Para el Progreso,,,1,,,,2022-04-01-SES-ORD-013.xlsx
17,11006,Economia,ACUÑA PERALTA MARÍA GRIMANEZA,Titular,Alianza Para el Progreso,,,-,1,-,-,13 REGISTRO DE ASISTENCIA DE LA DÉCIMO TERCERA SESIÓN ORDINARIA.xlsx
17,11203,Economia,ACUÑA PERALTA MARÍA GRIMANEZA,Titular,Alianza Para el Progreso,,,1,-,-,-,04 Registro de Asistencia Cuarta Sesión Ordinaria Economia (1).xlsx
17,11624,Economía,ACUÑA PERALTA MARÍA GRIMANEZA,Titular,Alianza Para el Progreso,,,1,-,-,-,22 Registro de Asistencia de la Vigésimo Segunda Sesión Ordinaria Comisión de Eonomía.xlsx
17,11877,Economia,ACUÑA PERALTA MARÍA GRIMANEZA,Titular,Alianza Para el Progreso,,,1,-,-,-,02 Asistencia Segunda Sesión Extraordinaria Economia (16).xlsx
17,11966,SCAC,ACUÑA PERALTA MARÍA GRIMANEZA,Titular,Alianza Para el Progreso,,,1,,,,2022-02-28-SES-EXT-004.xlsx
17,12219,SCAC,ACUÑA PERALTA MARÍA GRIMANEZA,Titular,Alianza Para el Progreso,,,1,,,,2022-05-27-SES-ORD-017.xlsx
17,12783,SCAC,ACUÑA PERALTA MARÍA GRIMANEZA,Titular,Alianza Para el Progreso,,,1,,,,2022-05-13-SES-ORD-016.xlsx
17,12979,SCAC,ACUÑA PERALTA MARÍA GRIMANEZA,Titular,Alianza Para el Progreso,,,1,,,,2022-04-29-SES-ORD-015.xlsx
18,13549,Economia,ACUÑA PERALTA MARÍA GRIMANEZA,Titular,Alianza Para el Progreso,,,1,-,-,-,01 Registro de Asisencia de la Primera Sesión Ordinaria de Economia 25.08.21 (3).xlsx
17,13800,Economia,ACUÑA PERALTA MARÍA GRIMANEZA,Titular,Alianza Para el Progreso,,,-,1,-,-,09 Registro de Asistencia Novena Ordinaria Economia (2).xlsx
17,14425,SCAC,ACUÑA PERALTA MARÍA GRIMANEZA,Titular,Alianza Para el Progreso,,,1,,,,2022-06-27-SES-EXT-016.xlsx
17,14470,SCAC,ACUÑA PERALTA MARÍA GRIMANEZA,Titular,Alianza Para el Progreso,,,1,,,,2022-03-25-SES-ORD-012.xlsx
17,14897,SCAC,ACUÑA PERALTA MARÍA GRIMANEZA,Titular,Alianza Para el Progreso,,,1,,,,2022-07-08-SES-ORD-021.xlsx
17,14956,SCAC,ACUÑA PERALTA MARÍA GRIMANEZA,Titular,Alianza Para el Progreso,,,1,,,,2021-11-26-SES-ORD-003.xlsx
17,15432,SCAC,ACUÑA PERALTA MARÍA GRIMANEZA,Titular,Alianza Para el Progreso,,,1,,,,2022-03-30-SES-EXT-008.xlsx
17,15486,Economia,ACUÑA PERALTA MARÍA GRIMANEZA,Titular,Alianza Para el Progreso,,,1,-,-,-,26 Registro de Asistencia de la Vigésimo Sexta Sesión Ordinaria Comisión de Eonomía (1) (1).xlsx
17,15697,Economia,ACUÑA PERALTA MARÍA GRIMANEZA,Titular,Alianza Para el Progreso,,,1,-,-,-,07 Registro de Asistencia Sétima Sesión Ordinaria Economia (18).xlsx
17,15730,SCAC,ACUÑA PERALTA MARÍA GRIMANEZA,Titular,Alianza Para el Progreso,,,1,,,,2022-01-06-SES-EXT-001.xlsx
27,15756,Economia,ACUÑA PERALTA MARÍA GRIMANEZA,Titular,Alianza Para el Progreso,,,1,-,-,-,02 Registro de Asistencia Segunda Sesión Ordinaria Economia 01.09.2021 (1).xlsx
17,15778,Economia,ACUÑA PERALTA MARÍA GRIMANEZA,Titular,Alianza Para el Progreso,,,1,-,-,-,14 REGISTRO DE ASISTENCIA DE LA DÉCIMO CUARTA SESIÓN ORDINARIA.xlsx
17,15811,Economia,ACUÑA PERALTA MARÍA GRIMANEZA,Titular,Alianza Para el Progreso,,,1,-,-,-,11 Registro de Asistencia de la Décimo Primera Sesión Ordinaria.xlsx
17,15914,Economia,ACUÑA PERALTA MARÍA GRIMANEZA,Titular,Alianza Para el Progreso,,,-,1,-,-,12 12 ava. Sesión Extraordinaaria Comisión de Eonomía (8).xlsx
17,16165,SCAC,ACUÑA PERALTA MARÍA GRIMANEZA,Titular,Alianza Para el Progreso,,,1,,,,2022-04-08-SES-ORD-014.xlsx
17,16625,SCAC,ACUÑA PERALTA MARÍA GRIMANEZA,Titular,Alianza Para el Progreso,,,1,,,,2022-07-20-SES-EXT-017.xlsx
17,16641,Economia,ACUÑA PERALTA MARÍA GRIMANEZA,Titular,Alianza Para el Progreso,,,1,-,-,-,03 Asistencia Tercera Sesión Extraordinaria Economia (5) - copia (21).xlsx
17,16830,Economia,ACUÑA PERALTA MARÍA GRIMANEZA,Titular,Alianza Para el Progreso,,,-,1,-,-,16 Registro de Asistencia de la Décimo Sexta Ordinaria Comisión de Eonomía (3).xlsx
36,7693,PRESUPUESTO,ACUÑA PERALTA MARÍA GRIMANEZA,Accesitaria,Alianza Para el Progreso,,,,,,,ASISTENCIA-COMISIONPPTO-2021-2022.xlsx
15,565,VIVIENDA,ACUÑA PERALTA MARÍA GRIMANEZA,Vicepresidente,Alianza para el Progreso,,,1,,,,Sesión 19 (6-06).xlsx
15,954,VIVIENDA,ACUÑA PERALTA MARÍA GRIMANEZA,Vicepresidente,Alianza para el Progreso,,,1,,,,Sesión 20 (27-06).xlsx
15,2294,VIVIENDA,ACUÑA PERALTA MARÍA GRIMANEZA,Vicepresidente,Alianza para el Progreso,,,1,,,,Sesión 21 (4-07).xlsx
15,2423,VIVIENDA,ACUÑA PERALTA MARÍA GRIMANEZA,Vicepresidente,Alianza para el Progreso,,,1,,,,Sesión 14 (7-3).xlsx
15,3533,VIVIENDA,ACUÑA PERALTA MARÍA GRIMANEZA,Vicepresidente,Alianza para el Progreso,,,1,,,,Sesión 04 (27-9).xlsx
15,3712,VIVIENDA,ACUÑA PERALTA MARÍA GRIMANEZA,Vicepresidente,Alianza para el Progreso,,,1,,,,Sesión 03 (13-9).xlsx
15,3850,VIVIENDA,ACUÑA PERALTA MARÍA GRIMANEZA,Vicepresidente,Alianza para el Progreso,,,1,,,,Sesión 18 (23-05).xlsx
15,3892,VIVIENDA,ACUÑA PERALTA MARÍA GRIMANEZA,Vicepresidente,Alianza para el Progreso,,,1,,,,Sesión 16 (25-4).xlsx
15,4710,VIVIENDA,ACUÑA PERALTA MARÍA GRIMANEZA,Vicepresidente,Alianza para el Progreso,,,1,,,,Sesión 15 (11-4).xlsx
15,5473,VIVIENDA,ACUÑA PERALTA MARÍA GRIMANEZA,Vicepresidente,Alianza para el Progreso,,,1,,,,Sesión 05 (04-10).xlsx
15,5630,VIVIENDA,ACUÑA PERALTA MARÍA GRIMANEZA,Vicepresidente,Alianza para el Progreso,,,,1,,,Sesión 10 (20-12).xlsx
15,5935,VIVIENDA,ACUÑA PERALTA MARÍA GRIMANEZA,Vicepresidente,Alianza para el Progreso,,,1,,,,Sesión 17 (9-05).xlsx
15,6077,VIVIENDA,ACUÑA PERALTA MARÍA GRIMANEZA,Vicepresidente,Alianza para el Progreso,,,1,,,,Sesión 07 (15-11).xlsx
15,6550,VIVIENDA,ACUÑA PERALTA MARÍA GRIMANEZA,Vicepresidente,Alianza para el Progreso,,,1,,,,Sesión 13 (7-2).xlsx
15,9264,VIVIENDA,ACUÑA PERALTA MARÍA GRIMANEZA,Vicepresidente,Alianza para el Progreso,,,1,,,,Sesión 22 (11-07).xlsx
15,10253,VIVIENDA,ACUÑA PERALTA MARÍA GRIMANEZA,Vicepresidente,Alianza para el Progreso,,,1,,,,Sesión 02 (6-9).xlsx
15,10639,VIVIENDA,ACUÑA PERALTA MARÍA GRIMANEZA,Vicepresidente,Alianza para el Progreso,,,1,,,,Sesión 01 (23-8).xlsx
15,11332,VIVIENDA,ACUÑA PERALTA MARÍA GRIMANEZA,Vicepresidente,Alianza para el Progreso,,,1,,,,Sesión 09 (13-12).xlsx
15,11833,VIVIENDA,ACUÑA PERALTA MARÍA GRIMANEZA,Vicepresidente,Alianza para el Progreso,,,1,,,,Sesión 11 (10-1).xlsx
15,12258,VIVIENDA,ACUÑA PERALTA MARÍA GRIMANEZA,Vicepresidente,Alianza para el Progreso,,,,1,,,Sesión Extraordinaria 1ra. (15-02-22).xlsx
15,12399,VIVIENDA,ACUÑA PERALTA MARÍA GRIMANEZA,Vicepresidente,Alianza para el Progreso,,,1,,,,Sesión 12 (17-1).xlsx
15,13974,VIVIENDA,ACUÑA PERALTA MARÍA GRIMANEZA,Vicepresidente,Alianza para el Progreso,,,,1,,,Sesión 06 (18-10).xlsx
15,16073,VIVIENDA,ACUÑA PERALTA MARÍA GRIMANEZA,Vicepresidente,Alianza para el Progreso,,,1,,,,Sesión 08 (22-12).xlsx
14,98,CIENCIA,ACUÑA PERALTA SEGUNDO HÉCTOR,Titular,Alianza Para el Progreso,,,,1,,,9a SES. EXT. 1JUL22.xlsx
14,332,CIENCIA,ACUÑA PERALTA SEGUNDO HÉCTOR,Titular,Alianza Para el Progreso,,,,1,,,FORMATO ASIST. 12a. SES. ORD 9FEB22.xlsx
14,466,CIENCIA,ACUÑA PERALTA SEGUNDO HÉCTOR,Titular,Alianza Para el Progreso,,,,1,,,FORMATO ASIST. 16a. SES. ORD 30MAR22.xlsx
14,779,CIENCIA,ACUÑA PERALTA SEGUNDO HÉCTOR,Titular,Alianza Para el Progreso,,,,1,,,23a. SES. ORD. 15JUN22.xlsx
14,1248,CIENCIA,ACUÑA PERALTA SEGUNDO HÉCTOR,Titular,Alianza Para el Progreso,,,,1,,,20a. SES. ORD. 25MAY22.xlsx
14,1463,CIENCIA,ACUÑA PERALTA SEGUNDO HÉCTOR,Titular,Alianza Para el Progreso,,,1,,,,FORMATO ASIST. 1a. SES. ORD. 8SET21.xlsx
14,1742,CIENCIA,ACUÑA PERALTA SEGUNDO HÉCTOR,Titular,Alianza Para el Progreso,,,,,,1,FORMATO ASIST. 6a. SES. EXT. 4FEB22.xlsx
14,1814,CIENCIA,ACUÑA PERALTA SEGUNDO HÉCTOR,Titular,Alianza Para el Progreso,,,1,,,,21a. SES. ORD. 1JUN22.xlsx
14,3154,CIENCIA,ACUÑA PERALTA SEGUNDO HÉCTOR,Titular,Alianza Para el Progreso,,,,1,,,FORMATO ASIST. 17a. SES. ORD 6ABR22.xlsx
14,4081,CIENCIA,ACUÑA PERALTA SEGUNDO HÉCTOR,Titular,Alianza Para el Progreso,,,1,,,,FORMATO ASIST. 6a. SES. ORD. 10NOV21.xlsx
14,4397,CIENCIA,ACUÑA PERALTA SEGUNDO HÉCTOR,Titular,Alianza Para el Progreso,,,,1,,,FORMATO ASIST. 5a. SES. EXT. 20ENE22.xlsx
14,4504,CIENCIA,ACUÑA PERALTA SEGUNDO HÉCTOR,Titular,Alianza Para el Progreso,,,,1,,,18a. SES. ORD 13ABR22.xlsx
14,5091,CIENCIA,ACUÑA PERALTA SEGUNDO HÉCTOR,Titular,Alianza Para el Progreso,,,,1,,,FORMATO ASIST. 7a. SES. EXT. 29MAR22.xlsx
14,5546,CIENCIA,ACUÑA PERALTA SEGUNDO HÉCTOR,Titular,Alianza Para el Progreso,,,,1,,,FORMATO ASIST. 11a. SES. ORD 19ENE22.xlsx
14,6334,CIENCIA,ACUÑA PERALTA SEGUNDO HÉCTOR,Titular,Alianza Para el Progreso,,,1,,,,FORMATO ASIST. 5a. SES. ORD. 3NOV21.xlsx
14,6591,CIENCIA,ACUÑA PERALTA SEGUNDO HÉCTOR,Titular,Alianza Para el Progreso,,,,1,,,22a. SES. ORD. 8JUN22.xlsx
14,6811,CIENCIA,ACUÑA PERALTA SEGUNDO HÉCTOR,Titular,Alianza Para el Progreso,,,,1,,,FORMATO ASIST. 10a. SES. ORD 5ENE22.xlsx
14,7430,CIENCIA,ACUÑA PERALTA SEGUNDO HÉCTOR,Titular,Alianza Para el Progreso,,,,1,,,FORMATO ASIST. 9a. SES. ORD 22DIC21.xlsx
14,7454,CIENCIA,ACUÑA PERALTA SEGUNDO HÉCTOR,Titular,Alianza Para el Progreso,,,1,,,,FORMATO ASIST. 3a. SES. ORD. 20OCT21.xlsx
16,7673,PRESUPUESTO,ACUÑA PERALTA SEGUNDO HÉCTOR,Titular,Alianza Para el Progreso,,,1,,,,ASISTENCIA-COMISIONPPTO-2021-2022.xlsx
14,9239,CIENCIA,ACUÑA PERALTA SEGUNDO HÉCTOR,Titular,Alianza Para el Progreso,,,1,,,,FORMATO ASIST. 4a. SES. EXT 13DIC21.xlsx
14,9305,CIENCIA,ACUÑA PERALTA SEGUNDO HÉCTOR,Titular,Alianza Para el Progreso,,,,1,,,19a. SES. ORD 27ABR22.xlsx
14,10714,CIENCIA,ACUÑA PERALTA SEGUNDO HÉCTOR,Titular,Alianza Para el Progreso,,,,1,,,FORMATO ASIST. 13a. SES. ORD 16FEB22.xlsx
14,11979,CIENCIA,ACUÑA PERALTA SEGUNDO HÉCTOR,Titular,Alianza Para el Progreso,,,,1,,,FORMATO ASIST. 15a. SES. ORD 9MAR22.xlsx
14,12232,CIENCIA,ACUÑA PERALTA SEGUNDO HÉCTOR,Titular,Alianza Para el Progreso,,,1,,,,FORMATO ASIST. 1a. SES. EXT 19OCT21.xlsx
14,13383,CIENCIA,ACUÑA PERALTA SEGUNDO HÉCTOR,Titular,Alianza Para el Progreso,,,,1,,,FORMATO ASIST. 8a. SES. ORD 15DIC21.xlsx
14,14210,CIENCIA,ACUÑA PERALTA SEGUNDO HÉCTOR,Titular,Alianza Para el Progreso,,,,1,,,FORMATO ASIST. 14a. SES. ORD 2MAR22.xlsx
14,14299,CIENCIA,ACUÑA PERALTA SEGUNDO HÉCTOR,Titular,Alianza Para el Progreso,,,1,,,,FORMATO ASIST. 3a. SES. EXT 20NOV21.xlsx
14,14323,CIENCIA,ACUÑA PERALTA SEGUNDO HÉCTOR,Titular,Alianza Para el Progreso,,,1,,,,FORMATO ASIST. 4a. SES. ORD. 27OCT21 (1).xlsx
14,15144,CIENCIA,ACUÑA PERALTA SEGUNDO HÉCTOR,Titular,Alianza Para el Progreso,,,1,,,,FORMATO ASIST. 7a. SES. ORD. 17NOV21.xlsx
14,15267,CIENCIA,ACUÑA PERALTA SEGUNDO HÉCTOR,Titular,Alianza Para el Progreso,,,,,,1,FORMATO ASIST. 2a. SES. EXT 23OCT21.xlsx
14,15391,CIENCIA,ACUÑA PERALTA SEGUNDO HÉCTOR,Titular,Alianza Para el Progreso,,,1,,,,FORMATO ASIST. SES. INST.1SET21.xlsx
14,15628,CIENCIA,ACUÑA PERALTA SEGUNDO HÉCTOR,Titular,Alianza Para el Progreso,,,,1,,,10a. SES. EXT. 11JUL22.xlsx
14,15880,CIENCIA,ACUÑA PERALTA SEGUNDO HÉCTOR,Titular,Alianza Para el Progreso,,,1,,,,FORMATO ASIST. 2a. SES. ORD. 15SET21.xlsx
14,16114,CIENCIA,ACUÑA PERALTA SEGUNDO HÉCTOR,Titular,Alianza Para el Progreso,,,,,,1,FORMATO ASIST. 8a. SES. EXT. 2ABR22 TRUJILLO.xlsx
33,656,INC. SOCIAL,AGÜERO GUTIÉRREZ MARÍA ANTONIETA,Accesitaria,Perú Libre,,,,,,,Asistencia Inclusión Social 6ta.Ord. 19-10.2021.xlsx
33,691,INC. SOCIAL,AGÜERO GUTIÉRREZ MARÍA ANTONIETA,Accesitaria,Perú Libre,,,,,,,Asistencia Inclusión Social 15ta. S.O_.xlsx
33,2168,INC. SOCIAL,AGÜERO GUTIÉRREZ MARÍA ANTONIETA,Accesitaria,Perú Libre,,,,,,,Asistencia Inclusión Social 9na. SO.xlsx
33,2533,INC. SOCIAL,AGÜERO GUTIÉRREZ MARÍA ANTONIETA,Accesitaria,Perú Libre,,,,,,,Asistencia Inclusión Social 8va. SO (3).xlsx
33,3293,INC. SOCIAL,AGÜERO GUTIÉRREZ MARÍA ANTONIETA,Accesitaria,Perú Libre,,,,,,,Asistencia Inclusión Social 4ta. S.E. 15.03.22.xlsx
33,3600,INC. SOCIAL,AGÜERO GUTIÉRREZ MARÍA ANTONIETA,Accesitaria,Perú Libre,,,,,,,Asistencia Inclusión Social 3ra. SE 08-02 -.22.xlsx
34,4124,INC. SOCIAL,AGÜERO GUTIÉRREZ MARÍA ANTONIETA,Accesitaria,Perú Libre,,,,,,,Asistencia Inclusión Social 1a. Ext 31.08.2021 (1).xlsx
33,4327,INC. SOCIAL,AGÜERO GUTIÉRREZ MARÍA ANTONIETA,Accesitaria,Perú Libre,,,,,,,Asistencia Inclusión Social 06.09 -2021.xlsx
33,5172,INC. SOCIAL,AGÜERO GUTIÉRREZ MARÍA ANTONIETA,Accesitaria,Perú Libre,,,,,,,Asistencia Inclusión Social 5ta S.E. 13-04-2022.xlsx
33,5589,INC. SOCIAL,AGÜERO GUTIÉRREZ MARÍA ANTONIETA,Accesitaria,Perú Libre,,,,,,,Asistencia Inclusión Social 2DA. SE 11.01.22.xlsx
33,6305,INC. SOCIAL,AGÜERO GUTIÉRREZ MARÍA ANTONIETA,Accesitaria,Perú Libre,,,,,,,Asistencia Inclusión Social 11RA. SO 24-05-22.xlsx
33,7133,INC. SOCIAL,AGÜERO GUTIÉRREZ MARÍA ANTONIETA,Accesitaria,Perú Libre,,,,,,,Asistencia Inclusión Social 8tva S. E_.xlsx
33,8419,INC. SOCIAL,AGÜERO GUTIÉRREZ MARÍA ANTONIETA,Accesitaria,Perú Libre,,,,,,,Asistencia Inclusión Social 10ma. SO.xlsx
33,10083,INC. SOCIAL,AGÜERO GUTIÉRREZ MARÍA ANTONIETA,Accesitaria,Perú Libre,,,,,,,Asistencia Inclusión Social 6ta. 06-05-22.xlsx
33,10912,INC. SOCIAL,AGÜERO GUTIÉRREZ MARÍA ANTONIETA,Accesitaria,Perú Libre,,,,,,,Asistencia Inclusión Social 7ma. S. Ord. 19-10.2021.xlsx
33,11054,INC. SOCIAL,AGÜERO GUTIÉRREZ MARÍA ANTONIETA,Accesitaria,Perú Libre,,,,,,,Asistencia Inclusión Social 7ma. S.E 13-05-22.xlsx
33,11951,INC. SOCIAL,AGÜERO GUTIÉRREZ MARÍA ANTONIETA,Accesitaria,Perú Libre,,,,,,,Asistencia Inclusión Social 13ra. S.O_.xlsx
33,12687,INC. SOCIAL,AGÜERO GUTIÉRREZ MARÍA ANTONIETA,Accesitaria,Perú Libre,,,,,,,Asistencia Inclusión Social 5ta Ord. 28.09.2021 (2).xlsx
